cell_phone_number,first_name,last_name,date_of_birth,sim_activation_date,region,source_system_name
0790892604,Dumisile,Mazwi,NULL,2025-04-23,Bloemfontein,ArrowMobile
0790900159,Julie,Marsden,1963-10-08,2024-08-01,Cape Town,VMobile
0791549028,Sphiwe,Mathula,1970-02-13,2024-03-07,Johannesburg,BlueMobile
0791653270,Vusumuzi,Bhovungana,NULL,2025-01-25,Polokwane,ArrowMobile
0791923440,Mandla,Dludlu,1998-02-02,2024-10-13,Boksburg,VMobile
0792106918,Ryan,Holland,1954-06-21,2024-03-15,Cape Town,BlueMobile
0792273093,Mthokozisi,Kubheka,NULL,2025-02-04,Soshanguve,ArrowMobile
0792348065,Lucy,Wright,1994-09-03,2024-09-29,Johannesburg,VMobile
0792624290,Nomthandazo,Dlungwana,1941-08-14,2024-09-22,Botshabelo,BlueMobile
0792936129,Nhlanhla,Shandu,NULL,2025-04-06,Newcastle,ArrowMobile
0793605906,Zibuyile,Sithuli,2000-04-21,2024-11-07,Durban,VMobile
0795199855,Thabisile,Khuzwayo,NULL,2025-01-07,Durban,ArrowMobile
0795246915,Nozizwe,Lange,1954-02-19,2025-03-31,Pretoria,VMobile
0795728959,Stacey,Miller,1948-04-30,2023-11-09,Johannesburg,BlueMobile
0795825108,Jennifer,Lewis,1973-07-25,2024-08-05,Cape Town,VMobile
0795885602,Bhekisisa,Mphephethwa,1943-12-13,2023-09-09,Kimberley,BlueMobile
0796004479,SimphiweyiNkosi,Mahlinza,NULL,2024-10-28,Nelspruit,ArrowMobile
0796205527,SimphiweyiNkosi,Msani,1978-04-27,2024-02-12,Johannesburg,VMobile
0796509072,Phillip,Johnston,1978-03-10,2025-02-09,Bloemfontein,BlueMobile
0796664125,Thandazile,Fakude,NULL,2024-06-26,Johannesburg,ArrowMobile
0796677912,Allison,Obrien,2005-03-20,2023-12-09,Cape Town,VMobile
0796967165,Nomagugu,Ayize,2006-08-22,2024-01-30,Botshabelo,BlueMobile
0797256727,Bhekokwakhe,Dwala,NULL,2024-09-21,Durban,ArrowMobile
0797558478,Randall,Rocha,1970-10-25,2023-09-04,Johannesburg,VMobile
0798062959,Mandla,Yei,1965-07-24,2023-10-08,Witbank,BlueMobile
0798290960,Veronica,Bowman,1977-06-29,2024-07-27,Egoli,BlueMobile
0798418621,Simphiwe,Mbhense,1957-08-18,2025-01-23,Johannesburg,BlueMobile
0798562157,Jeffrey,Morgan,NULL,2024-07-24,Krugersdorp,ArrowMobile
0798844055,Mthokozisi,Sishiya,1977-03-28,2024-10-26,Ekurhuleni,VMobile
0799314934,Gerald,Bailey,NULL,2023-11-15,Soshanguve,ArrowMobile
0799698904,Jeffrey,Bright,1974-04-07,2023-10-26,Pretoria,VMobile
0799933613,Sithembiso,Mvubu,NULL,2024-09-29,Benoni,ArrowMobile
